Reference Number,Stimulus,Exam,Question Pool,Tags,Option 1,Option 2,Option 3,Option 4,Correct Answer,ImageFileName,TagsToSyllabus,Section,Topic,Tag
2025-Full6029,In order to use digital processing to tune to and demodulate a radio signal it is necessary to employ a mixing process where the incoming RF signals,2025 Full V1.6b,2025 Full V1.6b - Transmitters and Receivers,A3M_2,are combined in the IF stages to give two copies of the modulation 180 degrees apart.,are combined in the IF stages to give two copies of the modulation 90 degrees apart.,are mixed with two local oscillator signals of the same frequency but 180 degrees different in phase.,are mixed with two local oscillator signals of the same frequency but 90 degrees different in phase.,D,,3M2,Transmitters and receivers,SDR transmitters and receivers,ATR_11
2025-Full6030,Why is it necessary to utilise both an 'I' and a 'Q' signal when they are both derived from the same incoming signal?,2025 Full V1.6b,2025 Full V1.6b - Transmitters and Receivers,A3M_2,Because some transmissions use both frequency and phase information to encode the data.,To identify whether the signal is amplitude modulated or frequency modulated.,In order to capture both the amplitude and phase of the modulated signal.,In order to capture both the amplitude and frequency of the modulated signal.,C,,3M2,Transmitters and receivers,SDR transmitters and receivers,ATR_11
2025-Full7800,An alternative to using local oscillators and mixers to extract the I and Q streams from an incoming radio signal is to,2025 Full V1.6b,2025 Full V1.6b - Transmitters and Receivers,A3M_2,digitise directly at RF so the I and Q streams and subsequent processing are all mathematical operations.,mix the RF signal down to baseband audio avoiding the need for I and Q streams altogether.,demodulate the signal at the Nyquist rate so an ordinary PCs soundcard can handle the data.,use parallel AM and FM demodulators simultaneously to capture the data provided the data rate is relatively slow.,A,,3M2,Transmitters and receivers,SDR transmitters and receivers,ATR_11
2025-Full554,In a modern transceiver which of the following would be shared between transmit and receive circuits?,2025 Full V1.6b,2025 Full V1.6b - Transmitters and Receivers,A3N_1,SSB filter,ALC circuit,AGC circuit,RF pre-amplifier,A,,3N1,Transmitters and receivers,Transceivers,ATR_12
2025-Full556,In a modern transceiver which of the following would NOT be shared between transmit and receive circuits?,2025 Full V1.6b,2025 Full V1.6b - Transmitters and Receivers,A3N_1,SSB filter,CW filter,Frequency synthesiser,AGC circuit,D,,3N1,Transmitters and receivers,Transceivers,ATR_12
2025-Full557,The RIT control on a radio transceiver,2025 Full V1.6b,2025 Full V1.6b - Transmitters and Receivers,A3N_1,is only used during Morse code reception,tunes the transmitter independently of the receiver,is only used when transmitting FM,tunes the receiver independently of the transmitter,D,,3N1,Transmitters and receivers,Transceivers,ATR_12
2025-Full558,The purpose of the RIT control on a transceiver is to,2025 Full V1.6b,2025 Full V1.6b - Transmitters and Receivers,A3N_1,allow the frequency of the receiver IF amplifier to be varied to avoid interference,vary the frequency of both receiver and transmitter,allow the frequency of the transmitter to be adjusted without varying the frequency of the receiver,allow the frequency of the receiver to be adjusted without varying the frequency of the transmitter,D,,3N1,Transmitters and receivers,Transceivers,ATR_12
2025-Full559,"When operating HF SSB in a net of several stations, it is noted that the stations are all transmitting on slightly different frequencies. A good way of improving reception is to adjust the",2025 Full V1.6b,2025 Full V1.6b - Transmitters and Receivers,A3N_1,squelch,main frequency or tuning control,RIT control,IF filter bandwidth,C,,3N1,Transmitters and receivers,Transceivers,ATR_12
2025-Full700,A transceiver will often share circuits between transmitter and receiver. Typically this would include the,2025 Full V1.6b,2025 Full V1.6b - Transmitters and Receivers,A3N_1,frequency modulator,AGC circuits,discriminator,IF filters,D,,3N1,Transmitters and receivers,Transceivers,ATR_12
2025-Full3635,Which amateur band is the receive converter shown intended to cover?,2025 Full V1.6b,2025 Full V1.6b - Transmitters and Receivers,A3N_2,2m,70cm,4m,6m,A,2025-Full3635.svg,3N2,Transmitters and receivers,Transceivers,ATR_12
2025-Full3636,The receive converter shown is designed to receive which amateur band?,2025 Full V1.6b,2025 Full V1.6b - Transmitters and Receivers,A3N_2,6m,4m,2m,70cm,A,2025-Full3636.svg,3N2,Transmitters and receivers,Transceivers,ATR_12
2025-Full3637,Which amateur band will the receive converter cover?,2025 Full V1.6b,2025 Full V1.6b - Transmitters and Receivers,A3N_2,2m,70cm,6m,4m,D,2025-Full3637.svg,3N2,Transmitters and receivers,Transceivers,ATR_12
2025-Full552,An HF operator who wishes to operate on UHF can do so by adding a,2025 Full V1.6b,2025 Full V1.6b - Transmitters and Receivers,A3N_2,transverter with up conversion on transmit and down conversion on receive,receiver converter with a UHF output,antenna matching unit with large component values,transmatch with a balanced output,A,,3N2,Transmitters and receivers,Transceivers,ATR_12
2025-Full553,"In order to operate cross-band with VHF receive and HF transmit, an HF operator could use",2025 Full V1.6b,2025 Full V1.6b - Transmitters and Receivers,A3N_2,VHF receiver converter with an HF output,transmatch with a balanced output,a transverter with up conversion on transmit and down conversion on receive,an antenna matching unit with large component values,A,,3N2,Transmitters and receivers,Transceivers,ATR_12
2025-Full7905,"It is desired to operate on 2m SSB using the station 10m, 28-30MHz, transceiver. This can be done with a suitable mixer and crystal oscillator. What is the best choice of crystal frequency?",2025 Full V1.6b,2025 Full V1.6b - Transmitters and Receivers,A3N_2,114MHz,116MHz,172MHz,174MHz,B,,3N2,Transmitters and receivers,Transceivers,ATR_12
2025-Full3659,The circuit is a,2025 Full V1.6b,2025 Full V1.6b - Feeder and Antenna,A4B_1,4 to 1 (4:1) balun,low-pass filter,braid-breaker filter,1 to 1 (1:1) balun,D,2025-Full3659.svg,4B1,Feeders and antennas,Baluns,AFA_1
2025-Full3675,The diagram shows the circuit of an antenna tuning unit (ATU/AMU). When correctly adjusted it is intended to,2025 Full V1.6b,2025 Full V1.6b - Feeder and Antenna,A4F_1,tune out any reactive component and transform the resistive component value to 50Ω,bring the impedance presented to the transmitter to 50Ω but with some reactive component.,bring the antenna itself to resonance at the transmitted frequency,only tune out the reactive component of the antenna feed impedance,A,2025-Full3675.svg,4F1,Feeders and antennas,Antenna matching units,AFA_5
2025-Full3737,The figure shows a half wave dipole fed from a transmitter. The dashed line represents the antenna's,2025 Full V1.6b,2025 Full V1.6b - Feeder and Antenna,A4D_2,standing wave ratio.,current distribution.,voltage distribution.,radiation pattern.,B,2025-Full3737.svg,4D2,Feeders and antennas,Types of antenna,AFA_2
2025-Full3738,The figure shows a half wave dipole fed from a transmitter. The dashed line represents the antenna's,2025 Full V1.6b,2025 Full V1.6b - Feeder and Antenna,A4D_2,standing wave ratio.,radiation pattern.,current distribution.,voltage distribution.,D,2025-Full3738.svg,4D2,Feeders and antennas,Types of antenna,AFA_2
2025-Full3739,A folded dipole has been used in a VHF directional antenna in order to,2025 Full V1.6b,2025 Full V1.6b - Feeder and Antenna,A4D_2,increase the gain of the antenna.,raise the feedpoint impedance of the antenna.,lower the vertical radiation angle of the antenna.,allow the antenna to be used on more than one amateur band.,B,,4D2,Feeders and antennas,Types of antenna,AFA_2
2025-Full3750,"If an Antenna Matching Unit (AMU/ATU) is installed between the transmitter and the feeder to the antenna, and correctly adjusted it will",2025 Full V1.6b,2025 Full V1.6b - Feeder and Antenna,A4F_1,tune out reactive component at the input to the feeder.,increase feeder loss.,affect the SWR on the feeder between the AMU/ATU and the antenna feedpoint.,reduce feeder loss.,A,,4F1,Feeders and antennas,Antenna matching units,AFA_5
2025-Full3817,"When used as intended, an antenna matching unit (AMU/ATU) is designed to reduce",2025 Full V1.6b,2025 Full V1.6b - Feeder and Antenna,A4F_1,the resistive part of the impedance and leave the inductive and capacitive part of the impedance,feeder losses due to resistance in the feeder which might contribute to a high SWR,inductive or capacitive reactance and adjust the resistive part of the impedance,inductive reactance and leave the capacitive reactance and resistive part of the impedance,C,,4F1,Feeders and antennas,Antenna matching units,AFA_5
2025-Full560,"Due to the Velocity Factor, the physical length of antenna feeder is",2025 Full V1.6b,2025 Full V1.6b - Feeder and Antenna,A4A_3,independent of its electrical length,always less than its electrical length,always the same as its electrical length,always more than its electrical length,B,,4A3,Feeders and antennas,Feeders,AFA_1
2025-Full561,A length of coaxial cable with a polythene dielectric is cut to λ/4 at 10MHz. The physical length will be approximately,2025 Full V1.6b,2025 Full V1.6b - Feeder and Antenna,A4A_3,5m,7.5m,30m,15m,A,,4A3,Feeders and antennas,Feeders,AFA_1
2025-Full562,The ratio of the wavelength of a signal in a coaxial cable to the wavelength in free space is a measure of the,2025 Full V1.6b,2025 Full V1.6b - Feeder and Antenna,A4A_3,velocity factor,standing wave ratio,frequency ratio,transmitted frequency,A,,4A3,Feeders and antennas,Feeders,AFA_1
2025-Full563,A λ/4 length of solid polythene coaxial cable is required to match an antenna for the 2 metre band. Its length will be approximately,2025 Full V1.6b,2025 Full V1.6b - Feeder and Antenna,A4A_3,33cm,50cm,25cm,66cm,A,,4A3,Feeders and antennas,Feeders,AFA_1
2025-Full565,An antenna has a feedpoint impedance of 100Ω at the frequency in use and is fed via 75Ω coaxial cable cut to λ/4 at the frequency in use. What impedance will the transmitter see?,2025 Full V1.6b,2025 Full V1.6b - Feeder and Antenna,A4F_2,56Ω,1.3Ω,130Ω,0.75Ω,A,,4F2,Feeders and antennas,Antenna matching units,AFA_5
2025-Full566,An antenna has a feed impedance of 100Ω. A λ/4 feeder to transform this to 50Ω will have an impedance of approximately,2025 Full V1.6b,2025 Full V1.6b - Feeder and Antenna,A4F_2,50Ω,100Ω,200Ω,70Ω,D,,4F2,Feeders and antennas,Antenna matching units,AFA_5
2025-Full570,Which of the following is NOT a type of balun?,2025 Full V1.6b,2025 Full V1.6b - Feeder and Antenna,A4B_1,Differential,Transformer,Sleeve,Choke,A,,4B1,Feeders and antennas,Baluns,AFA_1
2025-Full571,What would the advantage be fitting a 1 to 1 (1:1) balun to the centre of a dipole antenna of an amateur transceiver fed by coaxial cable?,2025 Full V1.6b,2025 Full V1.6b - Feeder and Antenna,A4B_1,It would improve the reception,It would minimise RF currents flowing on the outer braid of the coaxial cable,It can boost the transmitter signal,It would improve the impedance match between the antenna and the transmitter,B,,4B1,Feeders and antennas,Baluns,AFA_1
2025-Full573,A coaxial feeder cable is being used to feed a centre-fed half wave dipole. To reduce RF currents on the outer braid of the feeder; a length of braid from a larger cable is fitted over the outer insulation of the feeder. This braid should be,2025 Full V1.6b,2025 Full V1.6b - Feeder and Antenna,A4B_1,as long as possible,soldered to the feeder braid at the end closest to the antenna,λ/4 long,λ/2 long,C,,4B1,Feeders and antennas,Baluns,AFA_1
2025-Full574,"Because of the end factor correction, the actual length of a λ/2 dipole antenna is approximately",2025 Full V1.6b,2025 Full V1.6b - Feeder and Antenna,A4D_1,5% less than the electrical length,5% greater than the electrical length,10% greater than the electrical length,10% less than the electrical length,A,,4D1,Feeders and antennas,Types of antenna,AFA_2
2025-Full575,"For a 30MHz half-wave dipole antenna, the length of wire on each side of the central insulator is approximately",2025 Full V1.6b,2025 Full V1.6b - Feeder and Antenna,A4D_1,10m,4.75m,5.0m,2.4m,D,,4D1,Feeders and antennas,Types of antenna,AFA_2
2025-Full582,If the antenna shown was fed with a signal in the 14MHz band the feed-point impedance would be approximately,2025 Full V1.6b,2025 Full V1.6b - Feeder and Antenna,A4D_2,50Ω,35Ω,75Ω,300Ω,B,2025-Full582.svg,4D2,Feeders and antennas,Types of antenna,AFA_2
2025-Full583,The feed point impedance of a half-wave dipole antenna is between,2025 Full V1.6b,2025 Full V1.6b - Feeder and Antenna,A4D_2,10 and 20 ohms,50 and 75 ohms,30 and 40 ohms,5 and 10 ohms,B,,4D2,Feeders and antennas,Types of antenna,AFA_2
2025-Full587,Placing passive conducting elements close to a dipole will affect the radiation pattern of the dipole to make it directional. It will also,2025 Full V1.6b,2025 Full V1.6b - Feeder and Antenna,A4D_2,rotate the polarisation of the EM wave,suppress the E field of the EM wave,reduce the dipole feed impedance,increase the dipole feed impedance,C,,4D2,Feeders and antennas,Types of antenna,AFA_2
2025-Full592,"The sum of the forward and reverse signal voltages on a feeder, divided by their difference, is known as the",2025 Full V1.6b,2025 Full V1.6b - Feeder and Antenna,A4E_1,return loss,maximum working voltage,vector sum,standing wave ratio,D,,4E1,Feeders and antennas,Standing waves,AFA_3
2025-Full594,If the forward signal on a feeder is 100V and the reflected signal is 10V the standing wave ratio is,2025 Full V1.6b,2025 Full V1.6b - Feeder and Antenna,A4E_1,3.5 to 1 (3.5:1),1.2 to 1 (1.2:1),1 to 1 (1:1),10 to 1 (10:1),B,,4E1,Feeders and antennas,Standing waves,AFA_3
2025-Full597,A suitable meter in a coaxial cable indicates that the voltage of the RF signal from the transmitter is 12V and the reflected signal voltage from the antenna is 2V. The SWR at that point is,2025 Full V1.6b,2025 Full V1.6b - Feeder and Antenna,A4E_1,1 to 1 (1:1),2 to 1 (2:1),1.4 to 1 (1.4:1),1.2 to 1 (1.2:1),C,,4E1,Feeders and antennas,Standing waves,AFA_3
2025-Full599,You are asked to choose between two antennas on the basis of the results of return loss measurements on each of them. Antenna 1 has a measured return loss of 10dB and antenna 2 has a measured return loss of 20dB. Which antenna should you choose?,2025 Full V1.6b,2025 Full V1.6b - Feeder and Antenna,A4E_2,Antenna 1,Without knowing the feeder loss you cannot decide,"Either one, return loss is of no significance",Antenna 2,D,,4E2,Feeders and antennas,Standing waves,AFA_3
2025-Full600,A transceiver is connected to a length of feeder of loss 3dB but the far end is left disconnected. A forward/reverse power meter reads 8W forward power. What will the reverse power reading be?,2025 Full V1.6b,2025 Full V1.6b - Feeder and Antenna,A4E_2,4W,Zero,8W,2W,D,,4E2,Feeders and antennas,Standing waves,AFA_3
2025-Full601,A suitable meter in a coaxial cable indicates that the voltage of the RF signal from the transmitter is 10V and the reflected signal voltage from the antenna is 1V. The Return Loss is,2025 Full V1.6b,2025 Full V1.6b - Feeder and Antenna,A4E_2,10dB,11dB,20dB,1dB,C,,4E2,Feeders and antennas,Standing waves,AFA_3
2025-Full602,A transmitter feeds an antenna using a short length of good quality coaxial cable but the matching between the cable and the antenna is very poor. The transmitter will 'see',2025 Full V1.6b,2025 Full V1.6b - Feeder and Antenna,A4E_2,a low SWR and a high return loss,a high SWR and a low return loss,a low SWR and a low return loss,a high SWR and a high return loss,B,,4E2,Feeders and antennas,Standing waves,AFA_3
2025-Full603,"A transmitter is feeding a length of coaxial cable connected to an antenna, which is poorly matched. Rain seeping into the cable increases its attenuation by some 6dB. The effect at the transmitter will be that the SWR",2025 Full V1.6b,2025 Full V1.6b - Feeder and Antenna,A4E_3,decreases and the return loss decreases,increases and the return loss decreases,decreases and the return loss increases,increases and the return loss increases,C,,4E3,Feeders and antennas,Standing waves,AFA_3
2025-Full604,"The return loss of an antenna is noted as being 16dB. When installed the feeder is 10 metres long. If the feeder has a loss of 0.2dB/metre, the expected return loss, measured at the transmitter, will now be",2025 Full V1.6b,2025 Full V1.6b - Feeder and Antenna,A4E_3,20dB,18dB,16dB,14dB,A,,4E3,Feeders and antennas,Standing waves,AFA_3
2025-Full607,If RF losses in a feeder are high the SWR measured at the transmitter will be,2025 Full V1.6b,2025 Full V1.6b - Feeder and Antenna,A4E_3,the same as the return loss,higher than that at the antenna,matched to the feeder,lower than that at the antenna,D,,4E3,Feeders and antennas,Standing waves,AFA_3
2025-Full608,"The return loss of a feeder and antenna is measured as 30dB. If the feeder has a loss of 3dB, the return loss of the antenna is",2025 Full V1.6b,2025 Full V1.6b - Feeder and Antenna,A4E_3,27dB,33dB,24dB,36dB,C,,4E3,Feeders and antennas,Standing waves,AFA_3
2025-Full609,"The return loss of an antenna is measured as 20dB. The antenna is installed using 10m of feeder, which has a loss of 0.5dB per metre. The return loss measured at the transmitter will be",2025 Full V1.6b,2025 Full V1.6b - Feeder and Antenna,A4E_3,40dB,25dB,30dB,20dB,C,,4E3,Feeders and antennas,Standing waves,AFA_3
2025-Full610,A transmitter is connected to a length of feeder of loss 3dB and an antenna with a return loss of 15dB. What return loss will be seen at the transmitter,2025 Full V1.6b,2025 Full V1.6b - Feeder and Antenna,A4E_3,12dB,21dB,15dB,9dB,B,,4E3,Feeders and antennas,Standing waves,AFA_3
2025-Full718,A λ/4 coaxial line transformer using air spaced coaxial cable is replaced with one using a solid polythene dielectric. The length of the replacement cable will be,2025 Full V1.6b,2025 Full V1.6b - Feeder and Antenna,A4A_3,the same as the one it replaces,about 2/3 of the one it replaces,about half the length of the original,1.5 times the length of the one it replaces,B,,4A3,Feeders and antennas,Feeders,AFA_1
2025-Full719,It is desired to match an antenna of 100Ω impedance to a transmitter of 50Ω output using a short length of 72Ω feeder as an impedance transformer. Its length should be,2025 Full V1.6b,2025 Full V1.6b - Feeder and Antenna,A4F_2,any multiple of λ/2,as short as possible,λ/2 at the frequency concerned,λ/4 at the frequency concerned,D,,4F2,Feeders and antennas,Antenna matching units,AFA_5
2025-Full720,A 100Ω antenna is feeding a receiver with a 50Ω input impedance. It is decided to improve the matching by inserting a λ/4 length of coaxial cable as an impedance transformer. The characteristic impedance of this cable should be,2025 Full V1.6b,2025 Full V1.6b - Feeder and Antenna,A4F_2,100Ω,72Ω,50Ω,300Ω,B,,4F2,Feeders and antennas,Antenna matching units,AFA_5
2025-Full746,Two 50Ω Yagi antennas are connected by a λ/4 splitter to match 50Ω feeder. The characteristic impedance of the two λ/4 sections should be about,2025 Full V1.6b,2025 Full V1.6b - Feeder and Antenna,A4F_2,50Ω,35Ω,70Ω,100Ω,C,2025-Full746.svg,4F2,Feeders and antennas,Antenna matching units,AFA_5
2025-Full7908,"A VHF FM broadcast programme on 100MHz is suffering interference from a 2m transmission nearby. A stub filter is proposed, a length of solid polythene dielectric coaxial cable to be connected in parallel with the existing feeder from the aerial in the roof. The coax stub should be about",2025 Full V1.6b,2025 Full V1.6b - Feeder and Antenna,A4A_3,52cm long and open circuit at the free end.,52cm long and short circuit at the free end.,34cm long and open circuit at the free end.,34cm long and short circuit at the free end.,C,,4A3,Feeders and antennas,Feeders,AFA_1
2025-Full7911,"The drawing shows a sleeve balun. How long should the sleeve be, and at which end should the sleeve be connected to the outer braid of the coaxial feeder?",2025 Full V1.6b,2025 Full V1.6b - Feeder and Antenna,A4B_1,Connected at end 'A' and a quarter of a wavelength long.,Connected at end 'A' and a half of a wavelength long.,Connected at end 'B' and a quarter of a wavelength long.,Connected at end 'B' and a half of a wavelength long,A,2025-Full7911.png,4B1,Feeders and antennas,Baluns,AFA_1
2025-Full7914,How long is a typical half wave dipole tuned for the centre of the 1.8MHz band?,2025 Full V1.6b,2025 Full V1.6b - Feeder and Antenna,A4D_1,52.75m,75.00m,78.74m,157.48m,B,,4D1,Feeders and antennas,Types of antenna,AFA_2
2025-Full7916,How long is the optimum length of a half-wave dipole for the centre of the 3.5MHz - 3.8MHz band?,2025 Full V1.6b,2025 Full V1.6b - Feeder and Antenna,A4D_1,39m,40.7m,41.1m,82.2m,A,,4D1,Feeders and antennas,Types of antenna,AFA_2
2025-Full7917,A directional power meter shows 400W from the transmitter and 25W reflected from the antenna. An SWR meter is then substituted for the power meter. What approximate reading is expected?,2025 Full V1.6b,2025 Full V1.6b - Feeder and Antenna,A4E_1,4 to 1 (4:1),16 to 1 (16:1),1.1 to 1 (1.1:1),1.7 to 1 (1.7:1),D,,4E1,Feeders and antennas,Standing waves,AFA_3
2025-Full7918,A Radio Amateur wants help with their antenna matching. If the forward power to an antenna and feeder is 9W and the reflected power is 1W then the SWR is approximately,2025 Full V1.6b,2025 Full V1.6b - Feeder and Antenna,A4E_1,1.25 to 1 (1.25:1),2 to 1 (2:1),3 to 1 (3:1),9 to 1 (9:1),B,,4E1,Feeders and antennas,Standing waves,AFA_3
2025-Full7919,A directional power meter shows 400W from the transmitter and 25W reflected from the antenna. The Return Loss is,2025 Full V1.6b,2025 Full V1.6b - Feeder and Antenna,A4E_2,0.28dB,1.2dB,6dB,12dB,D,,4E2,Feeders and antennas,Standing waves,AFA_3
2025-Full7920,A Radio Amateur wants help with their antenna matching. The power meter shows 9W from the transmitter and 1W reflected. What is the Return Loss?,2025 Full V1.6b,2025 Full V1.6b - Feeder and Antenna,A4E_2,4.8dB,9dB,9.5dB,19dB,C,,4E2,Feeders and antennas,Standing waves,AFA_3
2025-Full7922,Four Yagis are connected together to give increased gain. Each has a feed impedance of 50Ω and have λ/4 tails of 75Ω coax to a common point where they are all paralleled together. Another λ/4 length is used to match to the 50Ω main feeder. What characteristic impedance is ideally needed?,2025 Full V1.6b,2025 Full V1.6b - Feeder and Antenna,A4F_2,25Ω,37.5Ω,50Ω,75Ω,B,,4F2,Feeders and antennas,Antenna matching units,AFA_5
2025-Full825,The diagram shows,2025 Full V1.6b,2025 Full V1.6b - Feeder and Antenna,A4F_1,a 1 to 1 (1:1) Balun,a 1 to 4 (1:4) Balun,a pi match AMU,an L match AMU,C,2025-Full825.svg,4F1,Feeders and antennas,Antenna matching units,AFA_5
2025-Full829,The diagram below shows,2025 Full V1.6b,2025 Full V1.6b - Feeder and Antenna,A4F_1,a 1 to 4 (1:4) Balun,a 1 to 1 (1:1) Balun,a pi match AMU,an L match AMU,D,2025-Full829.svg,4F1,Feeders and antennas,Antenna matching units,AFA_5
2025-Full849,The diagram shows,2025 Full V1.6b,2025 Full V1.6b - Feeder and Antenna,A4F_1,a low pass filter antenna matching unit,a pi-match antenna matching unit,a T-match antenna matching unit,an l-match antenna matching unit,C,2025-Full849.svg,4F1,Feeders and antennas,Antenna matching units,AFA_5
2025-Full3673,Which drawing correctly shows an electromagnetic wave?,2025 Full V1.6b,2025 Full V1.6b - Propagation,A5A_3,Drawing 4,Drawing 3,Drawing 2,Drawing 1,C,2025-Full3673.svg,5A3,Propagation,Radio propagation: key concepts,AP_1
2025-Full3806,Why is circular polarisation advantageous when communicating through or with a satellite?,2025 Full V1.6b,2025 Full V1.6b - Propagation,A5A_3,The orientation of the satellite antenna is changing,The satellite is in a circular orbit,Circular polarisation needs less power,Circularly polarised signals will not bounce off the atmosphere,A,,5A3,Propagation,Radio propagation: key concepts,AP_1
2025-Full617,Circular polarisation is characterised by the electric and magnetic fields,2025 Full V1.6b,2025 Full V1.6b - Propagation,A5A_3,rotating in the same direction,being at 180 degrees to each other,being in the same plane,rotating in opposite directions,A,,5A3,Propagation,Radio propagation: key concepts,AP_1
2025-Full782,When an antenna is using right-handed circular polarisation,2025 Full V1.6b,2025 Full V1.6b - Propagation,A5A_3,only the electric part of the wave rotates as it propagates,the electric and magnetic parts of the wave rotate clockwise from behind as the wave propagates,the electric and magnetic parts of the wave rotate ant-clockwise from behind as the wave propagates,only the magnetic part of the wave rotates as it propagates,B,,5A3,Propagation,Radio propagation: key concepts,AP_1
2025-Full852,When using circular polarisation The E and H fields of an electromagnetic wave are:-,2025 Full V1.6b,2025 Full V1.6b - Propagation,A5A_3,at 45 degrees to the direction of travel,in phase with each other,out of phase with each other,at 45 degrees to each other,B,,5A3,Propagation,Radio propagation: key concepts,AP_1
2025-Full3674,Which statement about antenna polarisation offers the best advice?,2025 Full V1.6b,2025 Full V1.6b - Propagation,A5A_3,The polarisation of the receive antenna for any frequency is not important because the polarisation of the transmit antenna is unknown.,The transmit and receive antennas should have the same polarisation for VHF and UHF but it matters less for HF.,It is particularly important for all transmit and receive antennas to have the same polarisation irrespective of the frequency.,At HF the polarisation of the receive antenna must match that of the transmitter but it is less imporant at VHF.,B,,5A3,Propagation,Radio propagation: key concepts,AP_1
2025-Full3730,"If the distance between transmitting and receiving antennas in free space is doubled, the power flux density at the receiving antenna changes by",2025 Full V1.6b,2025 Full V1.6b - Propagation,A5A_1,Negative (-)6dB.,Negative (-)3dB.,Positive (+)6dB.,Positive (+)3db.,A,,5A1,Propagation,Radio propagation: key concepts,AP_1
2025-Full3732,Under 'free space conditions' electromagnetic waves travel according to an inverse square law of power flux density. Such a statement means that the power flux density,2025 Full V1.6b,2025 Full V1.6b - Propagation,A5A_1,remains constant irrespective of distance from the radiating antenna,decreases slowly with increasing distance from a radiating antenna.,decreases quickly and then less so as the distance becomes greater.,increases quickly with increasing distance from the radiating antenna,C,,5A1,Propagation,Radio propagation: key concepts,AP_1
2025-Full3760,Under free space conditions electromagnetic waves,2025 Full V1.6b,2025 Full V1.6b - Propagation,A5A_1,travel in straight lines and spread out according to the inverse square law of power flux density.,travel in straight lines and are spread out according to the square law of power flux density.,travel in straight lines and are spread out according to the inverse linear law of power flux density.,travel in straight lines and spread out according to the linear law of power flux density.,A,,5A1,Propagation,Radio propagation: key concepts,AP_1
2025-Full3797,The Maximum Usable Frequency (MUF),2025 Full V1.6b,2025 Full V1.6b - Propagation,A5B_2,will always be lower than the Critical Frequency by an amount depending on ionospheric conditions.,can be higher or lower than the Critical Frequency depending on the chosen path and time of day.,will always be higher than the Critical Frequency by an amount depending on the distance to the far station.,will be approximately the same as the Critical Frequency for the longest paths where the angle of radiation is low.,C,,5B2,Propagation,Ionosphere,AP_2
2025-Full6031,A higher sunspot number is often an indication of,2025 Full V1.6b,2025 Full V1.6b - Propagation,A5B_1,a lower level of ionisation and improved HF propagation.,a higher level of ionisation and improved HF propagation.,a higher level of ionisation and poorer HF propagation,a lower level of ionisation and poorer HF propagation.,B,,5B1,Propagation,Ionosphere,AP_2
2025-Full6032,What effect does the presence of sunspots have on HF propagation?,2025 Full V1.6b,2025 Full V1.6b - Propagation,A5B_1,Sunspots increase the level of ionisation in the ionosphere and typically the MUF is increased and propagation improves.,Sunspots increase the level of ionisation in the ionosphere and typically the MUF is decreased and propagation improves.,Sunspots decrease the level of ionisation in the ionosphere and typically the MUF is decreased and propagation is poorer.,Sunspots decrease the level of ionisation in the ionosphere and typically the MUF is increased and propagation is poorer.,A,,5B1,Propagation,Ionosphere,AP_2
2025-Full6033,A Dellinger fade-out or Sudden Ionospheric Disturbance is normally associated with,2025 Full V1.6b,2025 Full V1.6b - Propagation,A5B_1,magnetic anomalies.,prolonged high temperatures.,sunspot minima.,a recent solar flare.,D,,5B1,Propagation,Ionosphere,AP_2
2025-Full6035,The Critical Frequency,2025 Full V1.6b,2025 Full V1.6b - Propagation,A5B_2,depends on the angle of arrival of the radio wave.,relatively unaffected by solar radiation.,is always lower than the maximum usable frequency.,is always higher than the maximum usable frequency.,C,,5B2,Propagation,Ionosphere,AP_2
2025-Full6036,The mode of propagation known as NVIS is normally used for,2025 Full V1.6b,2025 Full V1.6b - Propagation,A5B_3,HF tropospheric contacts below the LUF,HF contacts over relatively short distances,VHF contacts via the E-layer of the ionosphere,VHF tropospheric contacts above the MUF,B,,5B3,Propagation,Ionosphere,AP_2
2025-Full6037,NVIS contacts are usually possible,2025 Full V1.6b,2025 Full V1.6b - Propagation,A5B_3,on the lower HF bands.,on bands above 30MHz.,only well after sunset.,only during the day.,A,,5B3,Propagation,Ionosphere,AP_2
2025-Full6039,The polarisation of HF antennas is of lesser concern than VHF and UHF antennas because,2025 Full V1.6b,2025 Full V1.6b - Propagation,A5B_4,fading can occur on both polarisations with equal probability.,the ionosphere can change the polarisation of refracted waves.,the antennas are frequently shorter than a wavelength.,both the electric and magnetic fields can induce currents in a long wire,B,,5B4,Propagation,Ionosphere,AP_2
2025-Full6040,A feature of EME propagation is,2025 Full V1.6b,2025 Full V1.6b - Propagation,A5C_3,HF typically gives better propagation than the higher amateur frequencies.,Directional antennas are an advantage but are not essential for two-way communication.,received signals are very weak and require low internal noise receivers.,the line of sight path allows relatively modest transmitter powers for successful contact.,C,,5C3,Propagation,VHF and above,AP_3
2025-Full6042,Auroral propagation,2025 Full V1.6b,2025 Full V1.6b - Propagation,A5C_3,is achieved reflecting signals off the ionisation occurring near the poles.,frequently limited to the tropics with only rare opportunities in more temperate climates.,characterised by a slow fading of signals due to upper atmospheric winds.,only possible well after sunset after the ionosphere has settled from daytime peaks.,A,,5C3,Propagation,VHF and above,AP_3
2025-Full6043,An amateur in the Orkney isles north of the Scottish mainland is in VHF contact with an amateur in Tromso in Northern Norway. There is a rapid flutter on the signal. This is typical of,2025 Full V1.6b,2025 Full V1.6b - Propagation,A5C_3,tropospheric scattering.,auroral propagation.,grey line propagation.,VHF scintillation.,B,,5C3,Propagation,VHF and above,AP_3
